Pregunta;Respuesta
¿Cuáles son los valores?;"Muestros valores son:
- Integridad: Fomento de las relaciones personales y profesionales basadas en la confianza, el respeto, la ética y la transparencia
- Innovación: Desarrollo continuo de nuevas tecnologías de e-learning y de contenidos novedosos, útiles y permanentemente actualizados
- Calidad: Aplicación de los más altos estándares de mejora continua en nuestros servicios formativos y de apoyo a todos los colectivos con los que nos relacionamos
- Compromiso: Compromiso inequívoco de observancia integral de cualquier legislación, reglamentación y normativa"
hablame de los valores de Futura digital School;"Muestros valores son:
- Integridad: Fomento de las relaciones personales y profesionales basadas en la confianza, el respeto, la ética y la transparencia
- Innovación: Desarrollo continuo de nuevas tecnologías de e-learning y de contenidos novedosos, útiles y permanentemente actualizados
- Calidad: Aplicación de los más altos estándares de mejora continua en nuestros servicios formativos y de apoyo a todos los colectivos con los que nos relacionamos
- Compromiso: Compromiso inequívoco de observancia integral de cualquier legislación, reglamentación y normativa"
valores;"Muestros valores son:
- Integridad: Fomento de las relaciones personales y profesionales basadas en la confianza, el respeto, la ética y la transparencia
- Innovación: Desarrollo continuo de nuevas tecnologías de e-learning y de contenidos novedosos, útiles y permanentemente actualizados
- Calidad: Aplicación de los más altos estándares de mejora continua en nuestros servicios formativos y de apoyo a todos los colectivos con los que nos relacionamos
- Compromiso: Compromiso inequívoco de observancia integral de cualquier legislación, reglamentación y normativa"
¿Ofrece becas?;"Futura proporciona a sus alumnos importantes descuentos por matriculación anticipada.

Además ofrecemos becas para particulares de hasta un 40% con las siguientes características:

Objetivo:
- Facilitar el acceso a una formación de calidad
- Promover la empleabilidad
Criterios:
- Méritos académicos y profesionales
- Nivel de ingresos económicos
- Ayudar a autónomos y emprendedores
- Carta de exposición de motivos
- Entrevista personal

Concesión por riguroso orden de solicitud hasta agotar el número de plazas por cada edición. 

Futura ofrece en todo momento la mejor relación calidad/precio de sus másteres, bootcamps y cursos de formación mejorando la empleabilidad de sus alumnos en las nuevas profesiones más demandadas por el mercado de trabajo.

Contacta con nosotros para solicitar tu beca o descuento para tu próxima formación."
Hablame de las becas;"Futura proporciona a sus alumnos importantes descuentos por matriculación anticipada.

Además ofrecemos becas para particulares de hasta un 40% con las siguientes características:

Objetivo:
- Facilitar el acceso a una formación de calidad
- Promover la empleabilidad
Criterios:
- Méritos académicos y profesionales
- Nivel de ingresos económicos
- Ayudar a autónomos y emprendedores
- Carta de exposición de motivos
- Entrevista personal

Concesión por riguroso orden de solicitud hasta agotar el número de plazas por cada edición. 

Futura ofrece en todo momento la mejor relación calidad/precio de sus másteres, bootcamps y cursos de formación mejorando la empleabilidad de sus alumnos en las nuevas profesiones más demandadas por el mercado de trabajo.

Contacta con nosotros para solicitar tu beca o descuento para tu próxima formación."
¿Cual es el objetivo de las becas?;"Futura proporciona a sus alumnos importantes descuentos por matriculación anticipada.

Además ofrecemos becas para particulares de hasta un 40% con las siguientes características:

Objetivo:
- Facilitar el acceso a una formación de calidad
- Promover la empleabilidad
Criterios:
- Méritos académicos y profesionales
- Nivel de ingresos económicos
- Ayudar a autónomos y emprendedores
- Carta de exposición de motivos
- Entrevista personal

Concesión por riguroso orden de solicitud hasta agotar el número de plazas por cada edición. 

Futura ofrece en todo momento la mejor relación calidad/precio de sus másteres, bootcamps y cursos de formación mejorando la empleabilidad de sus alumnos en las nuevas profesiones más demandadas por el mercado de trabajo.

Contacta con nosotros para solicitar tu beca o descuento para tu próxima formación."
¿cuales son los criterios de las becas?;"Futura proporciona a sus alumnos importantes descuentos por matriculación anticipada.

Además ofrecemos becas para particulares de hasta un 40% con las siguientes características:

Objetivo:
- Facilitar el acceso a una formación de calidad
- Promover la empleabilidad
Criterios:
- Méritos académicos y profesionales
- Nivel de ingresos económicos
- Ayudar a autónomos y emprendedores
- Carta de exposición de motivos
- Entrevista personal

Concesión por riguroso orden de solicitud hasta agotar el número de plazas por cada edición. 

Futura ofrece en todo momento la mejor relación calidad/precio de sus másteres, bootcamps y cursos de formación mejorando la empleabilidad de sus alumnos en las nuevas profesiones más demandadas por el mercado de trabajo.

Contacta con nosotros para solicitar tu beca o descuento para tu próxima formación."
formación para empresas;"Futura Digital School colabora estrechamente con el mundo empresarial lo que nos permite estar en contacto permanente con las necesidades de las empresas y con los principales actores y tendencias. Todo ello nos permite ofrecer:

- Una formación desarrollada por y para el mundo corporativo
- Unos programas constantemente actualizados y adaptados a las necesidades de las empresas
- Un claustro de formadores y mentores formado por los mejores profesionales en activo"
hablame de formacion para empresas;"Futura Digital School colabora estrechamente con el mundo empresarial lo que nos permite estar en contacto permanente con las necesidades de las empresas y con los principales actores y tendencias. Todo ello nos permite ofrecer:

- Una formación desarrollada por y para el mundo corporativo
- Unos programas constantemente actualizados y adaptados a las necesidades de las empresas
- Un claustro de formadores y mentores formado por los mejores profesionales en activo"
que puedes decirme de formacion para empresas;"Futura Digital School colabora estrechamente con el mundo empresarial lo que nos permite estar en contacto permanente con las necesidades de las empresas y con los principales actores y tendencias. Todo ello nos permite ofrecer:

- Una formación desarrollada por y para el mundo corporativo
- Unos programas constantemente actualizados y adaptados a las necesidades de las empresas
- Un claustro de formadores y mentores formado por los mejores profesionales en activo"
¿sois especialistas en inteligencia aritifical y datos?;Somos la primera escuela en español especializada en Inteligencia Artificial y Datos
¿sois especialistas en inteligencia aritifical?;Somos la primera escuela en español especializada en Inteligencia Artificial y Datos
¿sois especialistas en datos?;Somos la primera escuela en español especializada en Inteligencia Artificial y Datos
¿Cuál es el objetivo de las practicas y el proyecto final?;Prácticas y proyecto final cuidadosamente pensados para que adquieras la experiencia práctica que demandan las empresas
¿Cuál es el objetivo de las practicas?;Prácticas y proyecto final cuidadosamente pensados para que adquieras la experiencia práctica que demandan las empresas
¿Cuál es el objetivo de el proyecto final?;Prácticas y proyecto final cuidadosamente pensados para que adquieras la experiencia práctica que demandan las empresas
¿Cómo ganare experiencia para las empresas?;Prácticas y proyecto final cuidadosamente pensados para que adquieras la experiencia práctica que demandan las empresas
¿Cómo ganare experiencia?;Prácticas y proyecto final cuidadosamente pensados para que adquieras la experiencia práctica que demandan las empresas
¿a que ritmo debo aprender?;Utilizamos una metodología propia diseñada para aprovechar lo mejor de la formación en directo y del trabajo online individual
¿puedo compatibilizarlo con mi trabajo?;Utilizamos una metodología propia diseñada para aprovechar lo mejor de la formación en directo y del trabajo online individual
¿es compatible con mi trabajo?;Utilizamos una metodología propia diseñada para aprovechar lo mejor de la formación en directo y del trabajo online individual
¿puedo trabajr mientras aprendo?;Utilizamos una metodología propia diseñada para aprovechar lo mejor de la formación en directo y del trabajo online individual
¿Cuál es el ritmo?;Utilizamos una metodología propia diseñada para aprovechar lo mejor de la formación en directo y del trabajo online individual
¿Como puedo contactar?;"Puedes contactar en el siguiente formulario:

https://www.futuradigitalschool.com/form/contacto

O por correo electronico:

info@futuradigitalschool.com

O por teléfono 

+34 644054203"
¿Cuáles son vuestros datos de contacto?;"Puedes contactar en el siguiente formulario:

https://www.futuradigitalschool.com/form/contacto

O por correo electronico:

info@futuradigitalschool.com

O por teléfono 

+34 644054203"
quiero contactar;"Puedes contactar en el siguiente formulario:

https://www.futuradigitalschool.com/form/contacto

O por correo electronico:

info@futuradigitalschool.com

O por teléfono 

+34 644054203"
¿Dónde estais?;"Estamos en:

C/ Alberto Aguilera 58, bajo izquierda.

28015 MADRID"
¿Cuál es vuestra dirección?;"Estamos en:

C/ Alberto Aguilera 58, bajo izquierda.

28015 MADRID"
¿Dónde esta vuestra escuela?;"Estamos en:

C/ Alberto Aguilera 58, bajo izquierda.

28015 MADRID"
¿Cuál es vuestra política de privacidad?;"Puedes consultarla en el siguiente enlace:

https://www.futuradigitalschool.com/politica-de-privacidad"
política de privacidad;"Puedes consultarla en el siguiente enlace:

https://www.futuradigitalschool.com/politica-de-privacidad"
Bootcamp en inteligencia artifical aplicada;"La Inteligencia Artificial está revolucionando todos los campos y convirtiéndose en una de las principales ventajas competitivas de las empresas. La necesidad de especialistas crece cada año, existiendo actualmente una enorme demanda sin cubrir. En Futura Digital School nos hemos aliado con DATIA y sus empresas asociadas para crear un bootcamp capaz de cubrir esta demanda con una de las formaciones más prácticas, completas y punteras que existen actualmente. 

Al terminar el curso
- Accede a una de las profesiones con más demanda laboral
- Domina las principales soluciones, tecnologías y servicios utilizadas actualmente
- Lidera proyectos de inteligencia artificial tanto a nivel técnico como de negocio
- Conoce las principales aplicaciones de la IA en el mundo empresarial
Este curso es para ti si
- Tienes formación en áreas cuantitativas: ingenieros, analistas y científicos de datos, gerentes, perfiles orientados a negocio, etc. 
- Deseas introducirte en el mundo de la inteligencia artificial con el objetivo de mejorar en tu profesión, reorientar tu carrera o aumentar tu empleabilidad
- Deseas formarte para liderar iniciativas y proyectos aprovechando los beneficios de la inteligencia artificial
- Deseas entender las aplicaciones y posibilidades de la inteligencia artificial"
curso en inteligencia artifical aplicada;"La Inteligencia Artificial está revolucionando todos los campos y convirtiéndose en una de las principales ventajas competitivas de las empresas. La necesidad de especialistas crece cada año, existiendo actualmente una enorme demanda sin cubrir. En Futura Digital School nos hemos aliado con DATIA y sus empresas asociadas para crear un bootcamp capaz de cubrir esta demanda con una de las formaciones más prácticas, completas y punteras que existen actualmente. 

Al terminar el curso
- Accede a una de las profesiones con más demanda laboral
- Domina las principales soluciones, tecnologías y servicios utilizadas actualmente
- Lidera proyectos de inteligencia artificial tanto a nivel técnico como de negocio
- Conoce las principales aplicaciones de la IA en el mundo empresarial
Este curso es para ti si
- Tienes formación en áreas cuantitativas: ingenieros, analistas y científicos de datos, gerentes, perfiles orientados a negocio, etc. 
- Deseas introducirte en el mundo de la inteligencia artificial con el objetivo de mejorar en tu profesión, reorientar tu carrera o aumentar tu empleabilidad
- Deseas formarte para liderar iniciativas y proyectos aprovechando los beneficios de la inteligencia artificial
- Deseas entender las aplicaciones y posibilidades de la inteligencia artificial"
hablame del Bootcamp en inteligencia artifical aplicada;"La Inteligencia Artificial está revolucionando todos los campos y convirtiéndose en una de las principales ventajas competitivas de las empresas. La necesidad de especialistas crece cada año, existiendo actualmente una enorme demanda sin cubrir. En Futura Digital School nos hemos aliado con DATIA y sus empresas asociadas para crear un bootcamp capaz de cubrir esta demanda con una de las formaciones más prácticas, completas y punteras que existen actualmente. 

Al terminar el curso
- Accede a una de las profesiones con más demanda laboral
- Domina las principales soluciones, tecnologías y servicios utilizadas actualmente
- Lidera proyectos de inteligencia artificial tanto a nivel técnico como de negocio
- Conoce las principales aplicaciones de la IA en el mundo empresarial
Este curso es para ti si
- Tienes formación en áreas cuantitativas: ingenieros, analistas y científicos de datos, gerentes, perfiles orientados a negocio, etc. 
- Deseas introducirte en el mundo de la inteligencia artificial con el objetivo de mejorar en tu profesión, reorientar tu carrera o aumentar tu empleabilidad
- Deseas formarte para liderar iniciativas y proyectos aprovechando los beneficios de la inteligencia artificial
- Deseas entender las aplicaciones y posibilidades de la inteligencia artificial"
caracteristicas Bootcamp en inteligencia artifical aplicada;"El curso tiene las siguientes caracteristicas
- Formación práctica diseñado con empresas del sector
- Modalidad online con sesiones en directo
- Soporte offline 24x7 para resolver dudas y preguntas
- Impartidas por los mejores profesionales en activo
- Proyecto final con mentor
- Duración: 16 semanas lectivas. 320h (5h/semana en directo + 15h/semana trabajo individual y en grupo)"
dime las caracteristicas Bootcamp en inteligencia artifical aplicada;"El curso tiene las siguientes caracteristicas
- Formación práctica diseñado con empresas del sector
- Modalidad online con sesiones en directo
- Soporte offline 24x7 para resolver dudas y preguntas
- Impartidas por los mejores profesionales en activo
- Proyecto final con mentor
- Duración: 16 semanas lectivas. 320h (5h/semana en directo + 15h/semana trabajo individual y en grupo)"
hablame de las caracteristicas Bootcamp en inteligencia artifical aplicada;"El curso tiene las siguientes caracteristicas
- Formación práctica diseñado con empresas del sector
- Modalidad online con sesiones en directo
- Soporte offline 24x7 para resolver dudas y preguntas
- Impartidas por los mejores profesionales en activo
- Proyecto final con mentor
- Duración: 16 semanas lectivas. 320h (5h/semana en directo + 15h/semana trabajo individual y en grupo)"
Cual es el temario del  Bootcamp en inteligencia artifical aplicada;"MÓDULO I - Introducción a la ciencia de datos y la inteligencia artificial

MÓDULO II - Machine Learning

MÓDULO III - Procesamiento de lenguaje natural y minería de textos

MÓDULO IV - Deep Learning

MÓDULO V - Diseño de agentes y sistemas inteligentes

MÓDULO VI - Inteligencia artificial en la empresa

MÓDULO VII - Aplicaciones por sectores. Casos y talleres prácticos

MÓDULO VIII - Proyecto final"
hablame temario del  Bootcamp en inteligencia artifical aplicada;"MÓDULO I - Introducción a la ciencia de datos y la inteligencia artificial

MÓDULO II - Machine Learning

MÓDULO III - Procesamiento de lenguaje natural y minería de textos

MÓDULO IV - Deep Learning

MÓDULO V - Diseño de agentes y sistemas inteligentes

MÓDULO VI - Inteligencia artificial en la empresa

MÓDULO VII - Aplicaciones por sectores. Casos y talleres prácticos

MÓDULO VIII - Proyecto final"
temario del  Bootcamp en inteligencia artifical aplicada;"MÓDULO I - Introducción a la ciencia de datos y la inteligencia artificial

MÓDULO II - Machine Learning

MÓDULO III - Procesamiento de lenguaje natural y minería de textos

MÓDULO IV - Deep Learning

MÓDULO V - Diseño de agentes y sistemas inteligentes

MÓDULO VI - Inteligencia artificial en la empresa

MÓDULO VII - Aplicaciones por sectores. Casos y talleres prácticos

MÓDULO VIII - Proyecto final"
requisitos para los bootcamp;"El curso está pensado para profesionales de áreas cuantitativas, técnicas o de negocio. Es necesario contar con una base de matemáticas y una experiencia mínima en programación. 

Por otro lado, es necesario tener acceso a Internet y un ordenador para seguir las clases y poder realizar las prácticas. Para las videoconferencias basta con un navegador, no es necesario instalar software adicional. "
¿Cuáles son los requisitos de los bootcamps?;"El curso está pensado para profesionales de áreas cuantitativas, técnicas o de negocio. Es necesario contar con una base de matemáticas y una experiencia mínima en programación. 

Por otro lado, es necesario tener acceso a Internet y un ordenador para seguir las clases y poder realizar las prácticas. Para las videoconferencias basta con un navegador, no es necesario instalar software adicional. "
hablame de los requisitos de los bootcamps;"El curso está pensado para profesionales de áreas cuantitativas, técnicas o de negocio. Es necesario contar con una base de matemáticas y una experiencia mínima en programación. 

Por otro lado, es necesario tener acceso a Internet y un ordenador para seguir las clases y poder realizar las prácticas. Para las videoconferencias basta con un navegador, no es necesario instalar software adicional. "
certificación;Si el alumno completa el curso satisfactoriamente recibirá un diploma acreditativo por parte de Futura Digital School.
proporcionais certificación;Si el alumno completa el curso satisfactoriamente recibirá un diploma acreditativo por parte de Futura Digital School.
hablame de la certificación;Si el alumno completa el curso satisfactoriamente recibirá un diploma acreditativo por parte de Futura Digital School.
¿Cómo accedo al campus?;Al hacer el pago se te solicitará una dirección de correo electrónica a la que te enviaremos toda la información necesaria para el acceso al campus online y la participación en los talleres a través de videoconferencia. 
acceso al campus;Al hacer el pago se te solicitará una dirección de correo electrónica a la que te enviaremos toda la información necesaria para el acceso al campus online y la participación en los talleres a través de videoconferencia. 
acceder al campus;Al hacer el pago se te solicitará una dirección de correo electrónica a la que te enviaremos toda la información necesaria para el acceso al campus online y la participación en los talleres a través de videoconferencia. 
metodo de acceso al campus;Al hacer el pago se te solicitará una dirección de correo electrónica a la que te enviaremos toda la información necesaria para el acceso al campus online y la participación en los talleres a través de videoconferencia. 
Que otros cursos teneis;"Tenemos los sigientes cursos que te podrian interesar:
- Metaversos, tecnología y aplicaciones
- Blockchain, Fintech y Legaltech
- Inteligencia artificial para retail y logística
- Inteligencia artificial para la industria 4.0
- Introducción a people analytics
- Aplicaciones de la inteligencia artificial en la empresa
- Gestion de proyectos de big data y analitica avanzada
- Deep leaarning. Tecnicas y aplicaciones
- Machine Learning. Introducción y aplicaciones"
que otros bootcamp teneis;"Tenemos los sigientes cursos que te podrian interesar:
- Metaversos, tecnología y aplicaciones
- Blockchain, Fintech y Legaltech
- Inteligencia artificial para retail y logística
- Inteligencia artificial para la industria 4.0
- Introducción a people analytics
- Aplicaciones de la inteligencia artificial en la empresa
- Gestion de proyectos de big data y analitica avanzada
- Deep leaarning. Tecnicas y aplicaciones
- Machine Learning. Introducción y aplicaciones"
otros botcamp;"Tenemos los sigientes cursos que te podrian interesar:
- Metaversos, tecnología y aplicaciones
- Blockchain, Fintech y Legaltech
- Inteligencia artificial para retail y logística
- Inteligencia artificial para la industria 4.0
- Introducción a people analytics
- Aplicaciones de la inteligencia artificial en la empresa
- Gestion de proyectos de big data y analitica avanzada
- Deep leaarning. Tecnicas y aplicaciones
- Machine Learning. Introducción y aplicaciones"
otros cursos;"Tenemos los sigientes cursos que te podrian interesar:
- Metaversos, tecnología y aplicaciones
- Blockchain, Fintech y Legaltech
- Inteligencia artificial para retail y logística
- Inteligencia artificial para la industria 4.0
- Introducción a people analytics
- Aplicaciones de la inteligencia artificial en la empresa
- Gestion de proyectos de big data y analitica avanzada
- Deep leaarning. Tecnicas y aplicaciones
- Machine Learning. Introducción y aplicaciones"
hablame de el curso de metaversos;"Daremos el siguiente temario:
- Metaversos. Retos y oportunidades
- Tecnología y modelos de metaversos
- Modelos de negocio alrededor de los metaversos
- Principales metaversos

Tiene una duración de 10 horas"
curso de metaversos;"Daremos el siguiente temario:
- Metaversos. Retos y oportunidades
- Tecnología y modelos de metaversos
- Modelos de negocio alrededor de los metaversos
- Principales metaversos

Tiene una duración de 10 horas"
bootcamp de metaversos;"Daremos el siguiente temario:
- Metaversos. Retos y oportunidades
- Tecnología y modelos de metaversos
- Modelos de negocio alrededor de los metaversos
- Principales metaversos

Tiene una duración de 10 horas"
hablame de el curso de Blockchain, Fintech y Legaltech;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
curso de Blockchain;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
curso de Fintech;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
curso de Legaltech;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el bootcamp de Blockchain, Fintech y Legaltech;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
bootcamp de Blockchain;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
bootcamp de Fintech;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
bootcamp de Legaltech;"Daremos el siguiente temario:
- Fintech y LegalTech. Retos y oportunidades
- Blockchain
- Casos de uso y aplicaciones de blockchain en FinTech y LegalTech
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el bootcamp de Inteligencia artificial para retail y logística;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el curso de Inteligencia artificial para retail y logística;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el curso de Inteligencia artificial para retail;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el curso de IA para retail;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el curso de IA para logistica;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el bootcamp de Inteligencia artificial para retail y logística;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el bootcamp de Inteligencia artificial para retail;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el bootcamp de IA para retail;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el bootcamp de IA para logistica;"Daremos el siguiente temario:
- Retail y logística 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en retail y logística 4.0
- Herramientas y soluciones de mercado
- Caso practico

Tiene una duración de 10 horas"
hablame de el bootcamp de Inteligencia artificial para industria 4.0;"Daremos el siguiente temario:
- Industria 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Herramientas y soluciones de mercado
- Hacia un industria 4.0. Casos de uso y aplicaciones
- Caso practico. Internet of things (IoT)

Tiene una duración de 10 horas"
hablame de el curso de Inteligencia artificial para industria 4.0;"Daremos el siguiente temario:
- Industria 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Herramientas y soluciones de mercado
- Hacia un industria 4.0. Casos de uso y aplicaciones
- Caso practico. Internet of things (IoT)

Tiene una duración de 10 horas"
bootcamp de Inteligencia artificial para industria 4.0;"Daremos el siguiente temario:
- Industria 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Herramientas y soluciones de mercado
- Hacia un industria 4.0. Casos de uso y aplicaciones
- Caso practico. Internet of things (IoT)

Tiene una duración de 10 horas"
curso de Inteligencia artificial para industria 4.0;"Daremos el siguiente temario:
- Industria 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Herramientas y soluciones de mercado
- Hacia un industria 4.0. Casos de uso y aplicaciones
- Caso practico. Internet of things (IoT)

Tiene una duración de 10 horas"
bootcamp de IA para industria 4.0;"Daremos el siguiente temario:
- Industria 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Herramientas y soluciones de mercado
- Hacia un industria 4.0. Casos de uso y aplicaciones
- Caso practico. Internet of things (IoT)

Tiene una duración de 10 horas"
curso de IA para industria 4.0;"Daremos el siguiente temario:
- Industria 4.0. Retos y oportunidades
- Técnicas de inteligencia artificial
- Herramientas y soluciones de mercado
- Hacia un industria 4.0. Casos de uso y aplicaciones
- Caso practico. Internet of things (IoT)

Tiene una duración de 10 horas"
hablame de el bootcamp introducción a people analytics;"Daremos el siguiente temario:
- Introducción a la analítica de datos
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en la gestión de personas
- Herramientas y soluciones de mercado
- Caso practico.

Tiene una duración de 10 horas"
hablame de el curso de introducción a people analytics;"Daremos el siguiente temario:
- Introducción a la analítica de datos
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en la gestión de personas
- Herramientas y soluciones de mercado
- Caso practico.

Tiene una duración de 10 horas"
bootcamp introducción a people analytics;"Daremos el siguiente temario:
- Introducción a la analítica de datos
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en la gestión de personas
- Herramientas y soluciones de mercado
- Caso practico.

Tiene una duración de 10 horas"
curso de introducción a people analytics;"Daremos el siguiente temario:
- Introducción a la analítica de datos
- Técnicas de inteligencia artificial
- Casos de uso y aplicaciones en la gestión de personas
- Herramientas y soluciones de mercado
- Caso practico.

Tiene una duración de 10 horas"
hablame de el bootcamp Aplicaciones de la inteligencia artificial en la empresa;"Daremos el siguiente temario:
- Introducción a la inteligencia artificial
- Casos de uso y aplicaciones en diferentes sectores y áreas de negocio
- Aplicación de la inteligencia artificial en la cadena de valor de la empresa
- Herramientas y soluciones 
- Caso. Implantación de una aplicación de inteligencia artificial

Tiene una duración de 10 horas"
hablame de el curso Aplicaciones de la inteligencia artificial en la empresa;"Daremos el siguiente temario:
- Introducción a la inteligencia artificial
- Casos de uso y aplicaciones en diferentes sectores y áreas de negocio
- Aplicación de la inteligencia artificial en la cadena de valor de la empresa
- Herramientas y soluciones 
- Caso. Implantación de una aplicación de inteligencia artificial

Tiene una duración de 10 horas"
