pregunta;respuesta
Comida;Casi todas las compañías de cruceros ofrecen un buffet para comer. La comida es un punto fuerte, los cruceros son una oportunidad única para poder degustar una amplia gama de alta calidad, con una diversidad de platos típicos de todas las partes del mundo, ya sea con sabor mediterráneo como al más propio estilo americano.
Hablame de la comida;Casi todas las compañías de cruceros ofrecen un buffet para comer. La comida es un punto fuerte, los cruceros son una oportunidad única para poder degustar una amplia gama de alta calidad, con una diversidad de platos típicos de todas las partes del mundo, ya sea con sabor mediterráneo como al más propio estilo americano.
¿Qué hacer para comer?;Casi todas las compañías de cruceros ofrecen un buffet para comer. La comida es un punto fuerte, los cruceros son una oportunidad única para poder degustar una amplia gama de alta calidad, con una diversidad de platos típicos de todas las partes del mundo, ya sea con sabor mediterráneo como al más propio estilo americano.
Comer;Casi todas las compañías de cruceros ofrecen un buffet para comer. La comida es un punto fuerte, los cruceros son una oportunidad única para poder degustar una amplia gama de alta calidad, con una diversidad de platos típicos de todas las partes del mundo, ya sea con sabor mediterráneo como al más propio estilo americano.
Tipos de comida;Casi todas las compañías de cruceros ofrecen un buffet para comer. La comida es un punto fuerte, los cruceros son una oportunidad única para poder degustar una amplia gama de alta calidad, con una diversidad de platos típicos de todas las partes del mundo, ya sea con sabor mediterráneo como al más propio estilo americano.
Casi todas las compañías de cruceros ofrecen un buffet para comer. La comida es un punto fuerte, los cruceros son una oportunidad única para poder degustar una amplia gama de alta calidad, con una diversidad de platos típicos de todas las partes del mundo, ya sea con sabor mediterráneo como al más propio estilo americano.;Casi todas las compañías de cruceros ofrecen un buffet para comer. La comida es un punto fuerte, los cruceros son una oportunidad única para poder degustar una amplia gama de alta calidad, con una diversidad de platos típicos de todas las partes del mundo, ya sea con sabor mediterráneo como al más propio estilo americano.
¿Qué incluye la reserva?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿Qué esta incluido?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿Qué servicios estan incluidos?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿Esta incluida la comida?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿Esta incluida la bebida?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿Esta incluido el aplojamiento?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿Esta incluido el entretenimiento?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿El precio incluye comida?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿El precio incluye bebida?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿El precio incluye alojamiento?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿El precio incluye el entretenimiento?;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.;La reserva incluye el alojamiento en el barco en la categoría elegida, el transporte marítimo, todas las comidas, algunas bebidas sin alcohol (dependiendo del barco) y la mayoría del entretenimiento.
¿Debo llevar dinero en el barco?;Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.
¿Cómo puedo pagar en el barco?;Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.
¿Debo llevar dinero?;Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.
¿Cómo puedo pagar?;Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.
dinero;Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.
pagar;Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.
Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.;Para pagar a bordo los gastos adicionales, estos serán cargados en una cuenta personal que se abrirá el día del embarque, excepto los gastos del casino y algunos otros especiales, de esta manera el pasajero no deberá llevar dinero encima.
internet;La mayoría de buques ya disponen de internet como servicio.
¿hay internet?;La mayoría de buques ya disponen de internet como servicio.
wifi;La mayoría de buques ya disponen de internet como servicio.
La mayoría de buques ya disponen de internet como servicio.;La mayoría de buques ya disponen de internet como servicio.
telefono movil;Puedes usar el teléfono móvil siempre que tengas cobertura suficiente para hacer llamadas, esto suele ser normalmente cuando el buque se encuentra en puerto o navegando cerca de la costa.
llamadas;Puedes usar el teléfono móvil siempre que tengas cobertura suficiente para hacer llamadas, esto suele ser normalmente cuando el buque se encuentra en puerto o navegando cerca de la costa.
covertura movil;Puedes usar el teléfono móvil siempre que tengas cobertura suficiente para hacer llamadas, esto suele ser normalmente cuando el buque se encuentra en puerto o navegando cerca de la costa.
Puedes usar el teléfono móvil siempre que tengas cobertura suficiente para hacer llamadas, esto suele ser normalmente cuando el buque se encuentra en puerto o navegando cerca de la costa.;Puedes usar el teléfono móvil siempre que tengas cobertura suficiente para hacer llamadas, esto suele ser normalmente cuando el buque se encuentra en puerto o navegando cerca de la costa.
navegación;Los itinerarios están hechos para que la navegación resulte lo más apacible posible, por lo que los lugares más visitados son de aguas tranquilas y por tanto el barco tiene poco movimiento.
marearse;Los itinerarios están hechos para que la navegación resulte lo más apacible posible, por lo que los lugares más visitados son de aguas tranquilas y por tanto el barco tiene poco movimiento.
mareos;Los itinerarios están hechos para que la navegación resulte lo más apacible posible, por lo que los lugares más visitados son de aguas tranquilas y por tanto el barco tiene poco movimiento.
navegar;Los itinerarios están hechos para que la navegación resulte lo más apacible posible, por lo que los lugares más visitados son de aguas tranquilas y por tanto el barco tiene poco movimiento.
itenerarios;Los itinerarios están hechos para que la navegación resulte lo más apacible posible, por lo que los lugares más visitados son de aguas tranquilas y por tanto el barco tiene poco movimiento.
Los itinerarios están hechos para que la navegación resulte lo más apacible posible, por lo que los lugares más visitados son de aguas tranquilas y por tanto el barco tiene poco movimiento.;Los itinerarios están hechos para que la navegación resulte lo más apacible posible, por lo que los lugares más visitados son de aguas tranquilas y por tanto el barco tiene poco movimiento.
medico;Los barcos de cruceros disponen de un servicio médico en caso de que se ponga enfermo, siendo los servicios médicos prestados son de pago, por lo que recomendamos utilizar un seguro médico.
doctor;Los barcos de cruceros disponen de un servicio médico en caso de que se ponga enfermo, siendo los servicios médicos prestados son de pago, por lo que recomendamos utilizar un seguro médico.
servicio medico;Los barcos de cruceros disponen de un servicio médico en caso de que se ponga enfermo, siendo los servicios médicos prestados son de pago, por lo que recomendamos utilizar un seguro médico.
enfermo;Los barcos de cruceros disponen de un servicio médico en caso de que se ponga enfermo, siendo los servicios médicos prestados son de pago, por lo que recomendamos utilizar un seguro médico.
asitencia medica;Los barcos de cruceros disponen de un servicio médico en caso de que se ponga enfermo, siendo los servicios médicos prestados son de pago, por lo que recomendamos utilizar un seguro médico.
Los barcos de cruceros disponen de un servicio médico en caso de que se ponga enfermo, siendo los servicios médicos prestados son de pago, por lo que recomendamos utilizar un seguro médico.;Los barcos de cruceros disponen de un servicio médico en caso de que se ponga enfermo, siendo los servicios médicos prestados son de pago, por lo que recomendamos utilizar un seguro médico.
fumar;Está prohibido fumar en los teatros, en los restaurantes y buffet de autoservicio (locales cerrados), en los corredores, pasillos, vestíbulos, antesalas e interiores de los ascensores y escaleras. En los salones se han previsto zonas reservadas para los fumadores. Pipas, cigarrillos y puros están permitidos sólo en algunos lugares dedicados a tal fin. 
se puede fumar;Está prohibido fumar en los teatros, en los restaurantes y buffet de autoservicio (locales cerrados), en los corredores, pasillos, vestíbulos, antesalas e interiores de los ascensores y escaleras. En los salones se han previsto zonas reservadas para los fumadores. Pipas, cigarrillos y puros están permitidos sólo en algunos lugares dedicados a tal fin. 
podre fumar;Está prohibido fumar en los teatros, en los restaurantes y buffet de autoservicio (locales cerrados), en los corredores, pasillos, vestíbulos, antesalas e interiores de los ascensores y escaleras. En los salones se han previsto zonas reservadas para los fumadores. Pipas, cigarrillos y puros están permitidos sólo en algunos lugares dedicados a tal fin. 
zona fumadores;Está prohibido fumar en los teatros, en los restaurantes y buffet de autoservicio (locales cerrados), en los corredores, pasillos, vestíbulos, antesalas e interiores de los ascensores y escaleras. En los salones se han previsto zonas reservadas para los fumadores. Pipas, cigarrillos y puros están permitidos sólo en algunos lugares dedicados a tal fin. 
Está prohibido fumar en los teatros, en los restaurantes y buffet de autoservicio (locales cerrados), en los corredores, pasillos, vestíbulos, antesalas e interiores de los ascensores y escaleras. En los salones se han previsto zonas reservadas para los fumadores. Pipas, cigarrillos y puros están permitidos sólo en algunos lugares dedicados a tal fin. ;Está prohibido fumar en los teatros, en los restaurantes y buffet de autoservicio (locales cerrados), en los corredores, pasillos, vestíbulos, antesalas e interiores de los ascensores y escaleras. En los salones se han previsto zonas reservadas para los fumadores. Pipas, cigarrillos y puros están permitidos sólo en algunos lugares dedicados a tal fin. 
camarotes;Actualmente los camarotes de los buques de crucero están diseñados para ofrecer el mayor confort a los pasajeros, pudiéndose encontrar en la mayoría de ellos cómo servicios privados con bañera o ducha, corriente eléctrica (110 o 220V), radio con varios canales, teléfono para comunicaciones entre cabinas o con el exterior, mueble tocador, cajas de seguridad (en cabina o en recepción), toallas, complementos de baño y tocador, etc.
habitaciones;Actualmente los camarotes de los buques de crucero están diseñados para ofrecer el mayor confort a los pasajeros, pudiéndose encontrar en la mayoría de ellos cómo servicios privados con bañera o ducha, corriente eléctrica (110 o 220V), radio con varios canales, teléfono para comunicaciones entre cabinas o con el exterior, mueble tocador, cajas de seguridad (en cabina o en recepción), toallas, complementos de baño y tocador, etc.
servicios en la habitación;Actualmente los camarotes de los buques de crucero están diseñados para ofrecer el mayor confort a los pasajeros, pudiéndose encontrar en la mayoría de ellos cómo servicios privados con bañera o ducha, corriente eléctrica (110 o 220V), radio con varios canales, teléfono para comunicaciones entre cabinas o con el exterior, mueble tocador, cajas de seguridad (en cabina o en recepción), toallas, complementos de baño y tocador, etc.
comodidad camarotes;Actualmente los camarotes de los buques de crucero están diseñados para ofrecer el mayor confort a los pasajeros, pudiéndose encontrar en la mayoría de ellos cómo servicios privados con bañera o ducha, corriente eléctrica (110 o 220V), radio con varios canales, teléfono para comunicaciones entre cabinas o con el exterior, mueble tocador, cajas de seguridad (en cabina o en recepción), toallas, complementos de baño y tocador, etc.
Actualmente los camarotes de los buques de crucero están diseñados para ofrecer el mayor confort a los pasajeros, pudiéndose encontrar en la mayoría de ellos cómo servicios privados con bañera o ducha, corriente eléctrica (110 o 220V), radio con varios canales, teléfono para comunicaciones entre cabinas o con el exterior, mueble tocador, cajas de seguridad (en cabina o en recepción), toallas, complementos de baño y tocador, etc.;Actualmente los camarotes de los buques de crucero están diseñados para ofrecer el mayor confort a los pasajeros, pudiéndose encontrar en la mayoría de ellos cómo servicios privados con bañera o ducha, corriente eléctrica (110 o 220V), radio con varios canales, teléfono para comunicaciones entre cabinas o con el exterior, mueble tocador, cajas de seguridad (en cabina o en recepción), toallas, complementos de baño y tocador, etc.
camas;Todas las cabinas disponen de camas bajas o literas, según la ocupación del camarote.
dormitorios;Todas las cabinas disponen de camas bajas o literas, según la ocupación del camarote.
Todas las cabinas disponen de camas bajas o literas, según la ocupación del camarote.;Todas las cabinas disponen de camas bajas o literas, según la ocupación del camarote.
programa;Un crucero no es sólo la navegación y las escalas, cada noche recibirá en su camarote el programa del día siguiente para que lo pueda planificar a su conveniencia con las actividades preparadas para el día siguiente, se detallan los horarios de todos los servicios y actividades a bordo, excursiones facultativas, etc.  
información;Un crucero no es sólo la navegación y las escalas, cada noche recibirá en su camarote el programa del día siguiente para que lo pueda planificar a su conveniencia con las actividades preparadas para el día siguiente, se detallan los horarios de todos los servicios y actividades a bordo, excursiones facultativas, etc.  
actividades;Un crucero no es sólo la navegación y las escalas, cada noche recibirá en su camarote el programa del día siguiente para que lo pueda planificar a su conveniencia con las actividades preparadas para el día siguiente, se detallan los horarios de todos los servicios y actividades a bordo, excursiones facultativas, etc.  
Un crucero no es sólo la navegación y las escalas, cada noche recibirá en su camarote el programa del día siguiente para que lo pueda planificar a su conveniencia con las actividades preparadas para el día siguiente, se detallan los horarios de todos los servicios y actividades a bordo, excursiones facultativas, etc.  ;Un crucero no es sólo la navegación y las escalas, cada noche recibirá en su camarote el programa del día siguiente para que lo pueda planificar a su conveniencia con las actividades preparadas para el día siguiente, se detallan los horarios de todos los servicios y actividades a bordo, excursiones facultativas, etc.  
comida en camarote;Sí, es posible con algunas compañías navieras desayunar en el camarote, quien desea su desayuno (café con leche, té, brioches, mermeladas, etc...) servido en el camarote puede rellenar la hoja de pedido que encontrará en el camarote y colocarla en la manilla externa de la puerta antes de ir a dormir. 
desayuno en camarote;Sí, es posible con algunas compañías navieras desayunar en el camarote, quien desea su desayuno (café con leche, té, brioches, mermeladas, etc...) servido en el camarote puede rellenar la hoja de pedido que encontrará en el camarote y colocarla en la manilla externa de la puerta antes de ir a dormir. 
¿puedo comer en el camarote?;Sí, es posible con algunas compañías navieras desayunar en el camarote, quien desea su desayuno (café con leche, té, brioches, mermeladas, etc...) servido en el camarote puede rellenar la hoja de pedido que encontrará en el camarote y colocarla en la manilla externa de la puerta antes de ir a dormir. 
Sí, es posible con algunas compañías navieras desayunar en el camarote, quien desea su desayuno (café con leche, té, brioches, mermeladas, etc...) servido en el camarote puede rellenar la hoja de pedido que encontrará en el camarote y colocarla en la manilla externa de la puerta antes de ir a dormir. ;Sí, es posible con algunas compañías navieras desayunar en el camarote, quien desea su desayuno (café con leche, té, brioches, mermeladas, etc...) servido en el camarote puede rellenar la hoja de pedido que encontrará en el camarote y colocarla en la manilla externa de la puerta antes de ir a dormir. 
temperatura;La temperatura en los camarotes y en las suites se controla individualmente mediante un termostato.
desembarque;Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.
como desembarco;Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.
como dejo el barco;Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.
abandonar el barco;Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.
abandonar el crucero;Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.
como dejo el crucero;Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.
Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.;Las operaciones de desembarque en la actualidad son sencillas, únicamente deberás dejar listo tu equipaje la noche anterior al desembarque, a la hora que te indique el programa del día y dejar liquidados los gastos extras que hayas realizado durante el crucero.
como son los cruceros;Los Cruceros son las vacaciones 10, muy cómodos y agradables. 
vacaciones en cruceros;Los Cruceros son las vacaciones 10, muy cómodos y agradables. 
son comodos los cruceros;Los Cruceros son las vacaciones 10, muy cómodos y agradables. 
comodidad cruceros;Los Cruceros son las vacaciones 10, muy cómodos y agradables. 
Los Cruceros son las vacaciones 10, muy cómodos y agradables. ;Los Cruceros son las vacaciones 10, muy cómodos y agradables. 
cuales son las visitas mas interesantes;Los que tienen las visitas más interesantes, los Cruceros por Mediterráneo Oriental. 
visitas interesantes;Los que tienen las visitas más interesantes, los Cruceros por Mediterráneo Oriental. 
Mediterraneo oriental;Los que tienen las visitas más interesantes, los Cruceros por Mediterráneo Oriental. 
crucero visitas interesantes;Los que tienen las visitas más interesantes, los Cruceros por Mediterráneo Oriental. 
Los que tienen las visitas más interesantes, los Cruceros por Mediterráneo Oriental. ;Los que tienen las visitas más interesantes, los Cruceros por Mediterráneo Oriental. 
cruceros mas tranquilos;Los más tranquilos, culturales y desbordantes de naturaleza, los Cruceros por el Norte de Europa. 
cruceros mas culturales;Los más tranquilos, culturales y desbordantes de naturaleza, los Cruceros por el Norte de Europa. 
cruceros naturaleza;Los más tranquilos, culturales y desbordantes de naturaleza, los Cruceros por el Norte de Europa. 
cruceros mas culturales;Los más tranquilos, culturales y desbordantes de naturaleza, los Cruceros por el Norte de Europa. 
Los más tranquilos, culturales y desbordantes de naturaleza, los Cruceros por el Norte de Europa. ;Los más tranquilos, culturales y desbordantes de naturaleza, los Cruceros por el Norte de Europa. 
cruceros mas animados;Los más animados y multinacionales, los Cruceros por el Caribe.
cruceros mas marcha;Los más animados y multinacionales, los Cruceros por el Caribe.
cruceros mas fiesta;Los más animados y multinacionales, los Cruceros por el Caribe.
cruceros mas multinacionales;Los más animados y multinacionales, los Cruceros por el Caribe.
Los más animados y multinacionales, los Cruceros por el Caribe.;Los más animados y multinacionales, los Cruceros por el Caribe.
se adminten mascotas;No se admiten mascotas a bordo.
se adminten perros;No se admiten mascotas a bordo.
se adminten gatos;No se admiten mascotas a bordo.
No se admiten mascotas a bordo.;No se admiten mascotas a bordo.
actividades niños;Los niños y jóvenes son especialmente bienvenidos a bordo y cuentan con multitud de actividades. 
actividades jovenes;Los niños y jóvenes son especialmente bienvenidos a bordo y cuentan con multitud de actividades. 
Los niños y jóvenes son especialmente bienvenidos a bordo y cuentan con multitud de actividades. ;Los niños y jóvenes son especialmente bienvenidos a bordo y cuentan con multitud de actividades. 
hay tiendas;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar en tiendas;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar perfumes;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar accesorios;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar ropa;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar cosméticos;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar joyas;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar relojes;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
comprar recuerdos;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.;Sí, hay tiendas a bordo y vale la pena visitarlas, donde puedes encontrar perfumes, ropa, accesorios, cosméticos, joyas, relojes, recuerdos, etc.
embarazadas;Por norma general, las embarazadas que lleguen a la 23ª semana de gestación antes de que termine el crucero, podrán realizarlo, siempre y cuando tengan un certificado firmado por el especialista que declare que están en condiciones de realizar el viaje (el número de semanas variará en función de la naviera).
pueden las embarazadas;Por norma general, las embarazadas que lleguen a la 23ª semana de gestación antes de que termine el crucero, podrán realizarlo, siempre y cuando tengan un certificado firmado por el especialista que declare que están en condiciones de realizar el viaje (el número de semanas variará en función de la naviera).
Por norma general, las embarazadas que lleguen a la 23ª semana de gestación antes de que termine el crucero, podrán realizarlo, siempre y cuando tengan un certificado firmado por el especialista que declare que están en condiciones de realizar el viaje (el número de semanas variará en función de la naviera).;Por norma general, las embarazadas que lleguen a la 23ª semana de gestación antes de que termine el crucero, podrán realizarlo, siempre y cuando tengan un certificado firmado por el especialista que declare que están en condiciones de realizar el viaje (el número de semanas variará en función de la naviera).
sustancias prohibidas;Está prohibido transportar mercancías peligrosas, bebida y comida con procedencia del exterior, por lo que será recogido por el oficial de seguridad y entregado al pasajero al finalizar el desembarque.
mercancias prohibidas;Está prohibido transportar mercancías peligrosas, bebida y comida con procedencia del exterior, por lo que será recogido por el oficial de seguridad y entregado al pasajero al finalizar el desembarque.
llevar comida;Está prohibido transportar mercancías peligrosas, bebida y comida con procedencia del exterior, por lo que será recogido por el oficial de seguridad y entregado al pasajero al finalizar el desembarque.
llevar bebida;Está prohibido transportar mercancías peligrosas, bebida y comida con procedencia del exterior, por lo que será recogido por el oficial de seguridad y entregado al pasajero al finalizar el desembarque.
Está prohibido transportar mercancías peligrosas, bebida y comida con procedencia del exterior, por lo que será recogido por el oficial de seguridad y entregado al pasajero al finalizar el desembarque.;Está prohibido transportar mercancías peligrosas, bebida y comida con procedencia del exterior, por lo que será recogido por el oficial de seguridad y entregado al pasajero al finalizar el desembarque.
novios;Los cruceros han sido y siguen siendo una gran alternativa para los viajes de novios por la gran cantidad de ventajas que ofrecen, es importante la sencillez de la reserva del crucero, ya que, además de elegir el crucero, no tenéis que preocuparos por nada.
viaje novios;Los cruceros han sido y siguen siendo una gran alternativa para los viajes de novios por la gran cantidad de ventajas que ofrecen, es importante la sencillez de la reserva del crucero, ya que, además de elegir el crucero, no tenéis que preocuparos por nada.
